name,latitude,longitude,weight
id_1,7.756815709378946,37.56244745643616,1
id_2,7.937276935087368,37.74875577896196,1
id_3,7.969281089345529,37.9515929387628,1
id_4,7.9297204,38.71554,1
id_5,7.9294891,38.7155036,1
id_6,7.9305893,38.7156313,1
id_7,7.9200138,38.714352,1
id_8,7.8626135,38.7075659,1
id_9,7.8610856,38.7129139,1
id_10,7.8602726,38.7133839,1
id_11,7.8750291,38.640778,1
id_12,7.917544324815314,38.717182156610576,1
id_13,7.9576239,39.1320297,1
id_14,7.986572918762409,39.14033638666916,1
id_15,8.2031744,37.7932018,1
id_16,8.1966135,37.7946644,1
id_17,8.1199215,37.9289058,1
id_18,8.1216846,37.9258186,1
id_19,8.1205913,37.9274996,1
id_20,8.2134981,37.7944519,1
id_21,8.211806217510098,37.780131698497534,1
id_22,8.0630719,38.4726352,1
id_23,8.0628832,38.4729037,1
id_24,8.062743,38.4728703,1
id_25,8.1206596,38.3788121,1
id_26,8.1204825,38.3784881,1
id_27,8.1197561,38.3783146,1
id_28,8.113514,38.3750195,1
id_29,8.127956505737522,38.37437004128711,1
id_30,7.9911771,38.6593741,1
id_31,7.9939811,38.6551074,1
id_32,8.022428096774819,38.721922335215496,1
id_33,8.145199,38.8174255,1
id_34,8.1438821,38.8162668,1
id_35,8.1454962,38.815861,1
id_36,8.2037798,38.8650594,1
id_37,8.176283991182524,38.844454707688314,1
id_38,8.0174271,39.1599269,1
id_39,8.013496043459151,39.16057535524232,1
id_40,8.1499783,39.3558823,1
id_41,8.1483111,39.3524987,1
id_42,8.1498697,39.3559457,1
id_43,8.151679,39.3561771,1
id_44,8.2816936,37.7775007,1
id_45,8.2736022,37.7626627,1
id_46,8.2780424,37.7634474,1
id_47,8.2822617,37.7785953,1
id_48,8.2768541170411,37.76290244961181,1
id_49,8.237963552722748,38.068446469086176,1
id_50,8.4406279,38.6112844,1
id_51,8.2586991,38.4985562,1
id_52,8.2574841,38.4978916,1
id_53,8.233796,38.4855165,1
id_54,8.2155553,38.5151096,1
id_55,8.335969,38.5242113,1
id_56,8.258097,38.5009228,1
id_57,8.3012727,38.9520685,1
id_58,8.402076381506866,39.20992534668829,1
id_59,8.4037871,39.3360063,1
id_60,8.4142633,39.3254435,1
id_61,8.376762535901936,39.311015070790745,1
id_62,8.5371585,37.9703852,1
id_63,8.5388845,37.9715811,1
id_64,8.5365913,37.9700181,1
id_65,8.550662737092637,37.97868303083803,1
id_66,8.587529,39.12446,1
id_67,8.5403837,39.2645458,1
id_68,8.5959212,39.1124847,1
id_69,8.5408627,39.2655724,1
id_70,8.5469516,39.2708806,1
id_71,8.5465868,39.2709599,1
id_72,8.5467346,39.2707866,1
id_73,8.542914,39.2789239,1
id_74,8.546889,39.2710654,1
id_75,8.5469842,39.270794,1
id_76,8.5421554,39.2826902,1
id_77,8.586851,39.1251442,1
id_78,8.5873189,39.1242831,1
id_79,8.5461971,39.2730978,1
id_80,8.5511945,39.2777907,1
id_81,8.5440364,39.2700148,1
id_82,8.5412989,39.2674655,1
id_83,8.5414496,39.2681254,1
id_84,8.542769,39.2694974,1
id_85,8.5471928,39.2702221,1
id_86,8.5472937,39.2699519,1
id_87,8.5476668,39.2690902,1
id_88,8.5404861,39.2651123,1
id_89,8.5405487,39.2637969,1
id_90,8.5475042,39.2689465,1
id_91,8.5472141,39.2695291,1
id_92,8.5467707,39.2707384,1
id_93,8.5321595,39.2423621,1
id_94,8.551862,39.2774923,1
id_95,8.541247,39.264864,1
id_96,8.5503594,39.2820348,1
id_97,8.550505,39.281327,1
id_98,8.5498085,39.2772377,1
id_99,8.5514857,39.2772942,1
id_100,8.5421913,39.2821844,1
id_101,8.5425733,39.282175,1
id_102,8.5426362,39.2816308,1
id_103,8.5427504,39.2800502,1
id_104,8.5428529,39.2794896,1
id_105,8.5350153,39.270337,1
id_106,8.5373192,39.2698011,1
id_107,8.5397815,39.269125,1
id_108,8.5422798,39.268906,1
id_109,8.5423357,39.2689283,1
id_110,8.5437054,39.2698505,1
id_111,8.5453896,39.2704748,1
id_112,8.5474488,39.2710619,1
id_113,8.547245,39.2700555,1
id_114,8.5473405,39.2698176,1
id_115,8.5473871,39.2696868,1
id_116,8.54745,39.2695455,1
