,PV Production (W/m2),Performance Ratio,Capacity Factor,Temperature (C),POA Irradiance (W/m2)
2020-01-01 00:00:00,0.0,,0.0,12.97,0.0
2020-01-01 01:00:00,0.0,,0.0,12.69,0.0
2020-01-01 02:00:00,0.0,,0.0,12.44,0.0
2020-01-01 03:00:00,0.0,,0.0,9.76,0.0
2020-01-01 04:00:00,0.0,,0.0,9.09,0.0
2020-01-01 05:00:00,0.0,,0.0,8.42,0.0
2020-01-01 06:00:00,0.0,,0.0,7.88,0.0
2020-01-01 07:00:00,19.301393147310588,0.8657352004642601,0.08773360521504812,10.390531034482759,101.34
2020-01-01 08:00:00,78.42137688175714,0.8454351066290041,0.356460804007987,23.596562068965518,421.63
2020-01-01 09:00:00,122.36050793382648,0.8201249347094954,0.5561841269719385,34.38198965517242,678.1700000000001
2020-01-01 10:00:00,138.19079635839958,0.8082401320782723,0.6281399834472708,39.37716206896552,777.17
2020-01-01 11:00:00,170.07615033624327,0.7789780643470382,0.7730734106192876,47.25931724137931,992.42
2020-01-01 12:00:00,147.3454276306618,0.7811611464878296,0.6697519437757354,44.91751034482759,857.38
2020-01-01 13:00:00,143.49844275669685,0.7458641397972311,0.6522656488940766,46.33596896551724,874.51
2020-01-01 14:00:00,120.29593568692657,0.6076227443803178,0.546799707667848,47.48513793103449,899.9
2020-01-01 15:00:00,42.42390473441053,0.28147121677267106,0.19283593061095694,41.345551724137934,685.1
2020-01-01 16:00:00,33.54010219468965,0.33954345206205355,0.15245500997586206,33.941034482758624,449.0
2020-01-01 17:00:00,16.224411683440554,0.29721245247983197,0.0737473258338207,27.1405275862069,248.13
2020-01-01 18:00:00,0.0,,0.0,18.7,0.0
2020-01-01 19:00:00,0.0,,0.0,16.89,0.0
2020-01-01 20:00:00,0.0,,0.0,15.81,0.0
2020-01-01 21:00:00,0.0,,0.0,14.5,0.0
2020-01-01 22:00:00,0.0,,0.0,13.63,0.0
2020-01-01 23:00:00,0.0,,0.0,12.48,0.0
2020-01-02 00:00:00,0.0,,0.0,11.86,0.0
2020-01-02 01:00:00,0.0,,0.0,11.15,0.0
2020-01-02 02:00:00,0.0,,0.0,9.97,0.0
2020-01-02 03:00:00,0.0,,0.0,9.26,0.0
2020-01-02 04:00:00,0.0,,0.0,8.91,0.0
2020-01-02 05:00:00,0.0,,0.0,8.61,0.0
2020-01-02 06:00:00,0.0,,0.0,8.25,0.0
2020-01-02 07:00:00,14.331663513141034,0.8731259222588389,0.06514392505973197,10.333934482758622,74.61
2020-01-02 08:00:00,65.75091964278657,0.8563057032780953,0.2988678165581208,21.188489655172415,349.02
2020-01-02 09:00:00,121.50256609261362,0.819327950109131,0.5522843913300619,34.677472413793105,674.0699999999999
2020-01-02 10:00:00,142.16041709787348,0.8042212274966,0.6461837140812431,40.56230689655173,803.49
2020-01-02 11:00:00,148.0811032081921,0.7935767451173106,0.6730959236736005,43.590544827586214,848.1800000000001
2020-01-02 12:00:00,118.08497651275293,0.8055437225954287,0.5367498932397861,39.44100689655173,666.3199999999999
2020-01-02 13:00:00,85.8676156187073,0.8204560323749198,0.39030734372139686,34.707351724137936,475.71999999999997
2020-01-02 14:00:00,90.23898286989956,0.7672599978735125,0.41017719486317983,36.72193103448276,534.6
2020-01-02 15:00:00,47.31336395352452,0.3248406392920373,0.21506074524329327,40.53174137931035,662.05
2020-01-02 16:00:00,26.036546907358108,0.23936237786540338,0.1183479404879914,35.279941379310344,494.43
2020-01-02 17:00:00,22.149229406157435,0.6317665379175061,0.1006783154825338,24.761089655172412,159.36
2020-01-02 18:00:00,0.0,,0.0,18.94,0.0
2020-01-02 19:00:00,0.0,,0.0,17.4,0.0
2020-01-02 20:00:00,0.0,,0.0,16.2,0.0
2020-01-02 21:00:00,0.0,,0.0,15.21,0.0
2020-01-02 22:00:00,0.0,,0.0,14.44,0.0
2020-01-02 23:00:00,0.0,,0.0,13.43,0.0
2020-01-03 00:00:00,0.0,,0.0,12.4,0.0
2020-01-03 01:00:00,0.0,,0.0,11.67,0.0
2020-01-03 02:00:00,0.0,,0.0,11.2,0.0
2020-01-03 03:00:00,0.0,,0.0,11.12,0.0
2020-01-03 04:00:00,0.0,,0.0,10.73,0.0
2020-01-03 05:00:00,0.0,,0.0,10.18,0.0
2020-01-03 06:00:00,0.0,,0.0,10.01,0.0
2020-01-03 07:00:00,22.49796389756633,0.8505653519226909,0.10226347226166513,13.898148275862068,120.23
2020-01-03 08:00:00,73.67615139106815,0.8451736251567936,0.3348915972321279,24.077393103448276,396.24
2020-01-03 09:00:00,87.23123906352438,0.8437905814026708,0.396505632106929,28.175072413793103,469.90999999999997
2020-01-03 10:00:00,117.2870187003635,0.8222762586170737,0.5331228122743795,35.479086206896554,648.3499999999999
2020-01-03 11:00:00,149.14478876562967,0.7963010019681559,0.6779308580255894,42.66908620689655,851.3499999999999
2020-01-03 12:00:00,138.28653061710503,0.7912178882844005,0.6285751391686593,42.55953103448276,794.44
2020-01-03 13:00:00,154.6095348630276,0.7319307334337629,0.7027706130137618,48.038262068965516,960.16
2020-01-03 14:00:00,120.28189741781759,0.6244413830619446,0.5467358973537163,46.52529655172414,875.5600000000001
2020-01-03 15:00:00,43.383473331303136,0.28417916481925565,0.1971976060513779,41.381903448275864,693.9200000000001
2020-01-03 16:00:00,35.991053436963554,0.3772441485051502,0.16359569744074343,33.6125724137931,433.65999999999997
